id,latitude,longitude,neighbourhood,room_type,capacity,bedrooms,beds,price,min_nights,reviews_count,reviews_monthly,occupancy,revenue,availability,score_rating,score_cleanliness,score_location,score_communication,score_value,score_checkin,score_accuracy,price_tier
538175,45.4462,9.15515,S. CRISTOFORO,Entire home/apt,3,1.0,0.0,100.0,5,9,0.06,0,0.0,36,4.22,4.0,4.25,4.56,4.22,4.22,4.67,mid
541221,45.45427,9.17764,TICINESE,Entire home/apt,3,1.0,2.0,110.0,1,14,0.13,0,0.0,82,4.29,4.43,4.5,4.64,3.93,4.29,4.29,mid
541668,45.439026,9.223157,LODI - CORVETTO,Entire home/apt,3,1.0,2.0,42.0,30,65,0.41,255,10710.0,199,4.89,4.89,4.64,4.94,4.94,4.89,4.9,budget
544809,45.45,9.20256,PORTA ROMANA,Entire home/apt,3,1.0,1.0,73.0,31,141,0.93,255,18615.0,344,4.56,4.62,4.71,4.67,4.42,4.63,4.71,budget
553285,45.48309,9.20435,CENTRALE,Entire home/apt,7,3.0,4.0,371.0,4,140,0.91,136,50456.0,52,4.82,4.9,4.76,4.89,4.71,4.89,4.87,premium
564917,45.49113,9.24909,PARCO LAMBRO - CIMIANO,Private room,1,1.0,1.0,64.0,2,13,0.1,12,768.0,89,4.54,4.46,4.62,4.83,4.46,4.85,4.77,budget
566637,45.48048,9.21135,BUENOS AIRES - VENEZIA,Entire home/apt,10,3.0,7.0,233.0,1,529,3.36,96,22368.0,196,4.78,4.79,4.9,4.87,4.67,4.91,4.83,premium
579191,45.44702,9.15458,S. CRISTOFORO,Entire home/apt,4,1.0,2.0,220.0,31,73,0.49,0,0.0,363,4.84,4.78,4.59,4.94,4.67,4.8,4.94,premium
584568,45.49677,9.12337,GALLARATESE,Private room,2,1.0,2.0,67.0,31,91,0.59,186,12462.0,60,4.61,4.72,4.42,4.83,4.56,4.79,4.69,budget
23986,45.44806,9.17373,NAVIGLI,Entire home/apt,4,1.0,1.0,180.0,31,26,0.16,0,0.0,352,4.64,4.19,4.69,4.73,4.46,4.58,4.65,premium
40470,45.52023,9.22747,VIALE MONZA,Entire home/apt,4,2.0,4.0,68.0,3,43,0.24,6,408.0,311,4.66,4.83,4.44,4.88,4.51,4.98,4.71,budget
46536,45.52276,9.22478,VIALE MONZA,Entire home/apt,5,2.0,3.0,86.0,3,39,0.24,18,1548.0,117,4.53,4.66,4.34,4.92,4.58,4.84,4.61,budget
88130,45.49764,9.14533,VILLAPIZZONE,Entire home/apt,4,2.0,2.0,250.0,31,7,0.04,0,0.0,363,5.0,5.0,4.43,5.0,4.71,5.0,5.0,premium
93232,45.4658,9.21551,XXII MARZO,Private room,1,2.0,1.0,60.0,31,9,0.05,0,0.0,364,4.78,4.75,4.75,4.5,4.75,4.75,4.88,budget
101087,45.43079,9.18234,STADERA,Entire home/apt,4,3.0,3.0,76.0,31,9,0.06,0,0.0,0,4.88,4.88,4.75,4.88,4.63,4.88,4.88,budget
102817,45.44465,9.15096,S. CRISTOFORO,Entire home/apt,3,1.0,2.0,63.0,3,719,4.34,156,9828.0,78,4.51,4.4,4.3,4.73,4.51,4.75,4.67,budget
122514,45.45032,9.15218,GIAMBELLINO,Entire home/apt,4,2.0,1.0,65.0,2,124,0.73,144,9360.0,147,4.85,4.71,4.78,4.89,4.7,4.84,4.89,budget
